range	min	max	N_TpC	nmut_TpC	rate_TpC	sd_TpC	A3AB
0-4	0	4	129427426	164882	1	2.464279e-03	A3A
5-7	5	7	137965836	178996	1.018415e+00	2.408711e-03	A3A
8-11	8	11	54784545	71036	1.017826e+00	3.821340e-03	A3A
12-15	12	15	9802582	13885	1.111881e+00	9.442628e-03	A3A
16+	16	Inf	2156508	4464	1.624898e+00	2.434519e-02	A3A
0-4	0	4	129427426	19928	1	7.084376e-03	A3B
5-7	5	7	137965836	20072	9.448910e-01	6.669879e-03	A3B
8-11	8	11	54784545	7182	8.514319e-01	1.004745e-02	A3B
12-15	12	15	9802582	1226	8.122928e-01	2.320035e-02	A3B
16+	16	Inf	2156508	292	8.794160e-01	5.146741e-02	A3B
