looplen	looppos	num_site	nmut	rate	sd	Sample	ss_range
3	1	2233684	2848	1.000855e+00	1.876627e-02	A3A	0-4
3	2	3695604	5090	1.081149e+00	1.516441e-02	A3A	0-4
3	3	3307140	6601	1.566788e+00	1.930360e-02	A3A	0-4
4	1	2243758	2419	8.462777e-01	1.721587e-02	A3A	0-4
4	2	2794039	3308	9.293646e-01	1.616815e-02	A3A	0-4
4	3	3173553	4508	1.115042e+00	1.661910e-02	A3A	0-4
4	4	2401523	3543	1.158077e+00	1.947027e-02	A3A	0-4
5	1	1649901	1961	9.329809e-01	2.108103e-02	A3A	0-4
5	2	1390866	1485	8.380969e-01	2.176019e-02	A3A	0-4
5	3	1569025	1869	9.350450e-01	2.164145e-02	A3A	0-4
5	4	1534431	2085	1.066625e+00	2.337511e-02	A3A	0-4
5	5	1763238	2289	1.019032e+00	2.131311e-02	A3A	0-4
6	1	1364183	1562	8.987967e-01	2.275461e-02	A3A	0-4
6	2	1054005	1153	8.586965e-01	2.530244e-02	A3A	0-4
6	3	1183991	1369	9.076285e-01	2.454468e-02	A3A	0-4
6	4	1195769	1445	9.485793e-01	2.496905e-02	A3A	0-4
6	5	1359621	1609	9.289477e-01	2.317235e-02	A3A	0-4
6	6	1513937	1845	9.566248e-01	2.228476e-02	A3A	0-4
3	1	2233684	350	1.017675e+00	5.440125e-02	A3B	0-4
3	2	3695604	519	9.121044e-01	4.003975e-02	A3B	0-4
3	3	3307140	504	9.897843e-01	4.409186e-02	A3B	0-4
4	1	2243758	343	9.928433e-01	5.361260e-02	A3B	0-4
4	2	2794039	431	1.001861e+00	4.826166e-02	A3B	0-4
4	3	3173553	436	8.922845e-01	4.273561e-02	A3B	0-4
4	4	2401523	401	1.084477e+00	5.416070e-02	A3B	0-4
5	1	1649901	243	9.565573e-01	6.136770e-02	A3B	0-4
5	2	1390866	242	1.130037e+00	7.264785e-02	A3B	0-4
5	3	1569025	212	8.775434e-01	6.027400e-02	A3B	0-4
5	4	1534431	242	1.024308e+00	6.585021e-02	A3B	0-4
5	5	1763238	270	9.945244e-01	6.052946e-02	A3B	0-4
6	1	1364183	184	8.760074e-01	6.458448e-02	A3B	0-4
6	2	1054005	199	1.226233e+00	8.693356e-02	A3B	0-4
6	3	1183991	162	8.886469e-01	6.982347e-02	A3B	0-4
6	4	1195769	182	9.885228e-01	7.327976e-02	A3B	0-4
6	5	1359621	199	9.506000e-01	6.739118e-02	A3B	0-4
6	6	1513937	230	9.866943e-01	6.506564e-02	A3B	0-4
3	1	1643921	2040	9.740972e-01	2.158025e-02	A3A	5-7
3	2	2558180	3495	1.072430e+00	1.815273e-02	A3A	5-7
3	3	2388634	8015	2.633947e+00	2.947017e-02	A3A	5-7
4	1	1635169	2030	9.745104e-01	2.164252e-02	A3A	5-7
4	2	2395941	3003	9.838577e-01	1.796497e-02	A3A	5-7
4	3	2486563	4008	1.265264e+00	2.000171e-02	A3A	5-7
4	4	1978564	3312	1.313994e+00	2.285132e-02	A3A	5-7
5	1	1231180	1550	9.882418e-01	2.511716e-02	A3A	5-7
5	2	1981041	2074	8.218042e-01	1.805474e-02	A3A	5-7
5	3	1519517	1906	9.846240e-01	2.256738e-02	A3A	5-7
5	4	1719983	2888	1.318032e+00	2.454663e-02	A3A	5-7
5	5	1970646	2435	9.699368e-01	1.966809e-02	A3A	5-7
6	1	1272932	1613	9.946774e-01	2.478221e-02	A3A	5-7
6	2	1512915	1812	9.401491e-01	2.209925e-02	A3A	5-7
6	3	1494740	1863	9.783636e-01	2.268111e-02	A3A	5-7
6	4	1551506	1948	9.855725e-01	2.234429e-02	A3A	5-7
6	5	2311366	2470	8.388442e-01	1.688748e-02	A3A	5-7
6	6	1498690	1839	9.632144e-01	2.247493e-02	A3A	5-7
3	1	1643921	282	1.114117e+00	6.635039e-02	A3B	5-7
3	2	2558180	314	7.971887e-01	4.499072e-02	A3B	5-7
3	3	2388634	340	9.244681e-01	5.013989e-02	A3B	5-7
4	1	1635169	236	9.373720e-01	6.102212e-02	A3B	5-7
4	2	2395941	350	9.487560e-01	5.071684e-02	A3B	5-7
4	3	2486563	351	9.167908e-01	4.893813e-02	A3B	5-7
4	4	1978564	300	9.847676e-01	5.685989e-02	A3B	5-7
5	1	1231180	174	9.178893e-01	6.958992e-02	A3B	5-7
5	2	1981041	278	9.114103e-01	5.466659e-02	A3B	5-7
5	3	1519517	213	9.104092e-01	6.238458e-02	A3B	5-7
5	4	1719983	234	8.835971e-01	5.776648e-02	A3B	5-7
5	5	1970646	276	9.096264e-01	5.475691e-02	A3B	5-7
6	1	1272932	190	9.694178e-01	7.033421e-02	A3B	5-7
6	2	1512915	199	8.542818e-01	6.056241e-02	A3B	5-7
6	3	1494740	206	8.950848e-01	6.236781e-02	A3B	5-7
6	4	1551506	228	9.544298e-01	6.321330e-02	A3B	5-7
6	5	2311366	273	7.671080e-01	4.643023e-02	A3B	5-7
6	6	1498690	221	9.577299e-01	6.442864e-02	A3B	5-7
3	1	582391	631	8.504872e-01	3.387570e-02	A3A	8-11
3	2	904015	1220	1.059345e+00	3.034941e-02	A3A	8-11
3	3	774771	3870	3.920944e+00	6.318546e-02	A3A	8-11
4	1	520435	685	1.033183e+00	3.950185e-02	A3A	8-11
4	2	1002102	1264	9.901209e-01	2.786688e-02	A3A	8-11
4	3	743428	1434	1.514130e+00	4.002277e-02	A3A	8-11
4	4	940754	1757	1.466050e+00	3.500806e-02	A3A	8-11
5	1	476649	498	8.201319e-01	3.677018e-02	A3A	8-11
5	2	629069	651	8.123361e-01	3.185443e-02	A3A	8-11
5	3	580856	684	9.243590e-01	3.536455e-02	A3A	8-11
5	4	692519	1371	1.554028e+00	4.201163e-02	A3A	8-11
5	5	562736	680	9.485436e-01	3.639696e-02	A3A	8-11
6	1	438103	530	9.496262e-01	4.127407e-02	A3A	8-11
6	2	645112	655	7.970017e-01	3.115724e-02	A3A	8-11
6	3	527309	571	8.500099e-01	3.559106e-02	A3A	8-11
6	4	544705	761	1.096671e+00	3.978205e-02	A3A	8-11
6	5	572609	873	1.196766e+00	4.053525e-02	A3A	8-11
6	6	603150	882	1.147880e+00	3.867936e-02	A3A	8-11
3	1	582391	83	9.256057e-01	1.016057e-01	A3B	8-11
3	2	904015	105	7.543558e-01	7.362187e-02	A3B	8-11
3	3	774771	136	1.140061e+00	9.776802e-02	A3B	8-11
4	1	520435	71	8.860423e-01	1.051610e-01	A3B	8-11
4	2	1002102	100	6.481129e-01	6.481452e-02	A3B	8-11
4	3	743428	92	8.037325e-01	8.380009e-02	A3B	8-11
4	4	940754	155	1.070085e+00	8.595837e-02	A3B	8-11
5	1	476649	53	7.221706e-01	9.920327e-02	A3B	8-11
5	2	629069	81	8.362754e-01	9.292547e-02	A3B	8-11
5	3	580856	74	8.274197e-01	9.619171e-02	A3B	8-11
5	4	692519	92	8.628171e-01	8.996087e-02	A3B	8-11
5	5	562736	80	9.233107e-01	1.032366e-01	A3B	8-11
6	1	438103	51	7.560605e-01	1.058758e-01	A3B	8-11
6	2	645112	96	9.664930e-01	9.864962e-02	A3B	8-11
6	3	527309	67	8.252247e-01	1.008236e-01	A3B	8-11
6	4	544705	80	9.538745e-01	1.066542e-01	A3B	8-11
6	5	572609	67	7.599399e-01	9.284686e-02	A3B	8-11
6	6	603150	88	9.475888e-01	1.010207e-01	A3B	8-11
3	1	103092	121	9.213263e-01	8.380608e-02	A3A	12-15
3	2	175311	257	1.150740e+00	7.183375e-02	A3A	12-15
3	3	161165	1401	6.823709e+00	1.830969e-01	A3A	12-15
4	1	76741	85	8.694499e-01	9.435729e-02	A3A	12-15
4	2	141382	166	9.216521e-01	7.157606e-02	A3A	12-15
4	3	121438	301	1.945651e+00	1.122844e-01	A3A	12-15
4	4	169426	511	2.367521e+00	1.048908e-01	A3A	12-15
5	1	58092	72	9.729023e-01	1.147287e-01	A3A	12-15
5	2	129023	112	6.814029e-01	6.441446e-02	A3A	12-15
5	3	86333	112	1.018343e+00	9.628680e-02	A3A	12-15
5	4	104339	456	3.430609e+00	1.610037e-01	A3A	12-15
5	5	80266	117	1.144214e+00	1.058597e-01	A3A	12-15
6	1	59356	81	1.071207e+00	1.191042e-01	A3A	12-15
6	2	90403	97	8.422518e-01	8.556358e-02	A3A	12-15
6	3	83852	99	9.267761e-01	9.319947e-02	A3A	12-15
6	4	87431	166	1.490376e+00	1.157853e-01	A3A	12-15
6	5	94115	214	1.784876e+00	1.221502e-01	A3A	12-15
6	6	77418	83	8.415680e-01	9.242359e-02	A3A	12-15
3	1	103092	11	6.929953e-01	2.089571e-01	A3B	12-15
3	2	175311	14	5.186585e-01	1.386228e-01	A3B	12-15
3	3	161165	25	1.007469e+00	2.015095e-01	A3B	12-15
4	1	76741	7	5.924247e-01	2.239257e-01	A3B	12-15
4	2	141382	17	7.809395e-01	1.894170e-01	A3B	12-15
4	3	121438	18	9.626768e-01	2.269219e-01	A3B	12-15
4	4	169426	26	9.966803e-01	1.954801e-01	A3B	12-15
5	1	58092	7	7.826081e-01	2.958159e-01	A3B	12-15
5	2	129023	19	9.564209e-01	2.194342e-01	A3B	12-15
5	3	86333	7	5.266036e-01	1.990455e-01	A3B	12-15
5	4	104339	17	1.058193e+00	2.566704e-01	A3B	12-15
5	5	80266	10	8.091536e-01	2.558928e-01	A3B	12-15
6	1	59356	8	8.753625e-01	3.095083e-01	A3B	12-15
6	2	90403	11	7.902644e-01	2.382882e-01	A3B	12-15
6	3	83852	11	8.520044e-01	2.569059e-01	A3B	12-15
6	4	87431	11	8.171275e-01	2.463887e-01	A3B	12-15
6	5	94115	14	9.661216e-01	2.582261e-01	A3B	12-15
6	6	77418	7	5.872441e-01	2.219675e-01	A3B	12-15
3	1	38547	31	6.312831e-01	1.134274e-01	A3A	16+
3	2	29962	54	1.414738e+00	1.926949e-01	A3A	16+
